Kalimat,Label,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di pabrik tekstil, panggil pemadam kebakaran sekarang juga!",Pemadam Kebakaran,,
"Terjadi kebakaran di pusat perbelanjaan, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung sekolah, hubungi pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Segera hubungi pemadam kebakaran, ada kebakaran di gedung sekolah!",Pemadam Kebakaran,,
"Tolong hubungi pemadam kebakaran, ada kebakaran di pusat perbelanjaan!",Pemadam Kebakaran,,
"Harap panggil pemadam kebakaran, terjadi kebakaran di gedung kantor!",Pemadam Kebakaran,,
"Mohon panggil pemadam kebakaran secepatnya, ada kebakaran di pabrik tekstil!",Pemadam Kebakaran,,
"Hubungi pemadam kebakaran dengan segera, ada kebakaran di gedung sekolah!",Pemadam Kebakaran,,
"Saya melihat mobil terbakar di jalan raya, tolong panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Ada kebakaran di pusat perbelanjaan, segera panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, tolong panggil pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Terjadi kebakaran di gedung kantor, tolong panggil pemadam kebakaran dengan segera!",Pemadam Kebakaran,,
"Saya melihat mobil terbakar di parkiran, segera panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Saya menemukan seseorang yang terluka di taman, butuh bantuan pemadam kebakaran!",Pemadam Kebakaran,,
"Ada kebakaran di kantor pusat, segera panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Terjadi kebakaran di gudang barang elektronik, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Mohon hubungi pemadam kebakaran, terjadi kebakaran di apartemen!",Pemadam Kebakaran,,
"Tolong hubungi pemadam kebakaran, ada kebakaran di pabrik peternakan!",Pemadam Kebakaran,,
"Terjadi kebakaran di rumah saya, mohon bantuan pemadam kebakaran segera!",Pemadam Kebakaran,,
"Harap panggil pemadam kebakaran, terjadi kebakaran di gedung sekolah!",Pemadam Kebakaran,,
"Ada kebakaran di kantor pusat, segera panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Terjadi kebakaran di gudang barang elektronik, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Mohon hubungi pemadam kebakaran, terjadi kebakaran di apartemen!",Pemadam Kebakaran,,
"Tolong hubungi pemadam kebakaran, ada kebakaran di pabrik peternakan!",Pemadam Kebakaran,,
"Terjadi kebakaran di rumah saya, mohon bantuan pemadam kebakaran segera!",Pemadam Kebakaran,,
"Harap panggil pemadam kebakaran, terjadi kebakaran di gedung sekolah!",Pemadam Kebakaran,,
"Ada kebakaran di kantor pusat, segera panggil pemadam kebakaran!",Pemadam Kebakaran,,
"Terjadi kebakaran di gudang barang elektronik, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Mohon hubungi pemadam kebakaran, terjadi kebakaran di apartemen!",Pemadam Kebakaran,,
"Terjadi kebakaran di gudang barang elektronik, panggil pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Mohon hubungi pemadam kebakaran, terjadi kebakaran di apartemen!",Pemadam Kebakaran,,
"Tolong hubungi pemadam kebakaran, ada kebakaran di gedung perkantoran!",Pemadam Kebakaran,,
"Terjadi kebakaran di apartemen, harap hubungi pemadam kebakaran secepatnya!",Pemadam Kebakaran,,
"Harap panggil pemadam kebakaran, terjadi kebakaran di gudang penyimpanan!",Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di pusat perbelanjaan. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di gedung apartemen!,Pemadam Kebakaran,,
Ada kobaran api di taman kota. Segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di restoran. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon segera hubungi pemadam kebakaran. Ada kebakaran di gedung pemerintahan!,Pemadam Kebakaran,,
Terjadi kebakaran di toko elektronik. Harap segera panggil pemadam kebakaran!,Pemadam Kebakaran,,
Ada api di gedung perkantoran. Butuh bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Mohon bantu evakuasi. Terjadi kebakaran di rumah tetangga!,Pemadam Kebakaran,,
Ada kebakaran di pusat hiburan malam. Segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Terbakar di area parkir. Perlukan bantuan pemadam kebakaran!,Pemadam Kebakaran,,
Terjadi kebakaran di sekolah dasar. Mohon segera hubungi pemadam kebakaran!,Pemadam Kebakaran,,
Tolong telepon pemadam kebakaran,Pemadam Kebakaran,,
Saya butuh bantuan polisi segera.,Polisi,,
Laporkan kejadian tersebut ke kantor polisi sekarang juga.,Polisi,,
Kami membutuhkan bantuan polisi untuk menangani situasi ini.,Polisi,,
Silakan laporkan kehilangan barang berharga Anda ke kantor polisi.,Polisi,,
"Saya melihat seseorang mencuri di toko, panggil polisi sekarang!",Polisi,,
Laporkan kejadian kecelakaan ini kepada polisi setempat.,Polisi,,
Kita perlu kehadiran polisi untuk mengatasi situasi ini.,Polisi,,
Mohon lapor kehilangan dompet ke kantor polisi terdekat.,Polisi,,
Saya kehilangan dompet saya di stasiun polisi.,Polisi,,
"Saya melihat seseorang mencuri di toko, panggil polisi!",Polisi,,
"Saya butuh bantuan polisi, ada seseorang yang mengancam saya.",Polisi,,
"Ada kejadian kecelakaan di jalan raya, hubungi polisi sekarang juga!",Polisi,,
"Saya kehilangan anak saya di taman, mohon bantuan polisi!",Polisi,,
"Ada kejadian perampokan di bank, segera hubungi polisi!",Polisi,,
"Saya kehilangan dompet saya di stasiun kereta, butuh bantuan polisi.",Polisi,,
"Saya diserang di jalanan, butuh bantuan polisi!",Polisi,,
"Ada kejadian tabrakan di persimpangan, hubungi polisi!",Polisi,,
"Saya kehilangan telepon seluler saya di mal, butuh bantuan polisi.",Polisi,,
"Saya diancam oleh seseorang di jalan, butuh bantuan polisi!",Polisi,,
"Ada kejadian perampokan di minimarket, segera panggil polisi!",Polisi,,
"Saya menemukan anak yang tersesat di pusat perbelanjaan, tolong hubungi polisi!",Polisi,,
"Saya menjadi korban kecelakaan di jalan raya, butuh bantuan polisi!",Polisi,,
"Ada kejadian perampokan di toko perhiasan, hubungi polisi sekarang juga!",Polisi,,
"Saya kehilangan dompet saya di pusat perbelanjaan, butuh bantuan polisi.",Polisi,,
"Ada kejadian penyerangan di klub malam, segera hubungi polisi!",Polisi,,
"Saya menemukan anak yang hilang di taman bermain, tolong hubungi polisi!",Polisi,,
"Ada kejadian perampokan di bank, segera panggil polisi!",Polisi,,
